CMDLINE c:\users\harry\.virtualenvs\asteroids-master-ovjyosp_\scripts\python.exe evolution.py
MEM 143.062500 1545266366.7910
MEM 143.062500 1545266366.9019
MEM 143.062500 1545266367.0111
MEM 143.062500 1545266367.1177
MEM 143.062500 1545266367.2251
MEM 143.062500 1545266367.3331
MEM 143.062500 1545266367.4407
MEM 143.062500 1545266367.5504
MEM 143.062500 1545266367.6563
MEM 143.062500 1545266367.7665
MEM 143.066406 1545266367.8731
MEM 143.070312 1545266367.9822
MEM 143.070312 1545266368.0896
MEM 143.070312 1545266368.1985
MEM 143.070312 1545266368.3083
MEM 143.070312 1545266368.4163
MEM 143.207031 1545266368.5249
MEM 143.304688 1545266368.6328
MEM 143.457031 1545266368.7393
MEM 143.535156 1545266368.8481
MEM 145.468750 1545266368.9541
MEM 145.472656 1545266369.0604
MEM 145.472656 1545266369.1682
MEM 145.472656 1545266369.2768
MEM 145.472656 1545266369.3846
MEM 145.472656 1545266369.4929
MEM 145.472656 1545266369.6014
MEM 145.472656 1545266369.7097
MEM 145.472656 1545266369.8207
MEM 145.472656 1545266369.9263
MEM 145.472656 1545266370.0317
MEM 145.472656 1545266370.1412
MEM 145.476562 1545266370.2486
MEM 145.476562 1545266370.3557
MEM 145.476562 1545266370.4639
MEM 145.476562 1545266370.5731
MEM 145.476562 1545266370.6799
MEM 145.476562 1545266370.7873
MEM 145.476562 1545266370.8982
MEM 145.476562 1545266371.0060
MEM 145.476562 1545266371.1148
MEM 145.476562 1545266371.2215
MEM 145.476562 1545266371.3285
MEM 145.476562 1545266371.4344
MEM 145.476562 1545266371.5420
MEM 145.476562 1545266371.6475
MEM 145.476562 1545266371.7565
MEM 145.476562 1545266371.8647
MEM 145.476562 1545266371.9723
MEM 145.476562 1545266372.0873
MEM 145.476562 1545266372.1992
MEM 145.476562 1545266372.3037
MEM 145.476562 1545266372.4115
MEM 145.476562 1545266372.5216
MEM 145.476562 1545266372.6316
MEM 145.476562 1545266372.7393
MEM 145.476562 1545266372.8536
MEM 145.476562 1545266372.9652
MEM 145.476562 1545266373.0729
